study_id,split,reliable_contrasts,osf_title,tess_url,field_start_year,tess_page_reports_findings,publication,pub_year,pub_authors,pub_title,pub_venue,pub_url,pub_doi,citations,results_public,published,unclear,coder_a_public,coder_b_public,reconciliation
qmfy4,seen,54,Why Hillary Rodham Became Hillary Clinton: Consequences of Non-Traditional Last Name Choice in Marriage,https://www.tessexperiments.org/study/shafer012,2010.0,True,yes,2017.0,"Shafer, Emily Fitzgibbons",Hillary Rodham Versus Hillary Clinton: Consequences of Surname Choice in Marriage,Gender Issues,https://link.springer.com/article/10.1007/s12147-016-9182-5,10.1007/s12147-016-9182-5,15.0,True,True,False,True,True,agreed
r5hwx,seen,6,"Race, Religion, and American Support for Humanitarian Intervention",https://www.tessexperiments.org/study/chu958,2018.0,True,yes,2018.0,"Chu, Jonathan; Lee, Carrie","Race, Religion, and American Support for Humanitarian Intervention","Working paper, presented at 2018 APSA Annual Meeting",https://www.jonathanchu.org/research.html,,6.0,True,True,False,True,True,agreed
rj3aw,unseen,12,How Candidates Can Signal Sincerity in an Era of Cynicism,https://www.tessexperiments.org/study/clifford1222,2020.0,True,yes,2024.0,"Clifford, Scott, Elizabeth N. Simas","Moral Rhetoric, Extreme Positions, and Perceptions of Candidate Sincerity",Political Behavior,https://link.springer.com/article/10.1007/s11109-022-09835-w,10.1007/s11109-022-09835-w,3.0,True,True,False,True,True,agreed
rs65g,seen,4,Do Better Labels Lead to Better Choices? Evidence from Energy-Efficiency Labels,https://www.tessexperiments.org/study/metcalf541,2013.0,True,yes,2014.0,"Davis, Lucas W., Gilbert E. Metcalf",Does Better Information Lead to Better Choices? Evidence from Energy-Efficiency Labels,Journal of the Association of Environmental and Resource Economists,https://www.journals.uchicago.edu/doi/abs/10.1086/686252,10.1086/686252,127.0,True,True,False,True,True,agreed
s2rd5,seen,7,Public Attitudes about Political Equality,https://www.tessexperiments.org/study/flavin235,2011.0,True,no,,,,,,,,True,False,False,True,True,agreed
s43kb,unseen,40,How Conflict Orientation Influences Emotional and Political Responses to Incivility,https://www.tessexperiments.org/study/sydnor770,2016.0,True,yes,2019.0,"Sydnor, Emily",Disrespectful Democracy: The Psychology of Political Incivility,Columbia University Press,https://cup.columbia.edu/book/disrespectful-democracy/9780231189255/,10.7312/sydn18924,89.0,True,True,False,True,True,agreed
usywt,seen,3,Distributive Justice in American Healthcare,https://www.tessexperiments.org/study/barnesS26,2018.0,False,no,,,,,,,,False,False,False,False,False,agreed
v6kqy,seen,12,The Tesla effect: Increasing Republican support for electric vehicle adoption through engagement with a value-aligned product,https://www.tessexperiments.org/study/rode1532,2022.0,True,no,,,,,,,,True,False,False,True,True,agreed
v6nhw,seen,7,Burden Sharing and Collective Action: A Study of Opinion on Opioid Treatment Funding,https://www.tessexperiments.org/study/hankinsonS22,2018.0,True,yes,2019.0,"Justin de Benedictis-Kessner, Michael Hankinson",Concentrated Burdens: How Self-Interest and Partisanship Shape Opinion on Opioid Treatment Policy,American Political Science Review 113(4): 1078-1084,https://scholar.google.com/scholar?q=%22Concentrated+Burdens%22+Hankinson+%22de+Benedictis-Kessner%22,,51.0,True,True,False,True,True,agreed
vemrp,seen,32,Accidental Environmentalists: Examining the Effect of Income on Positive Social Evaluations of Environmentally-Friendly Lifestyles,https://www.tessexperiments.org/study/kennedy1017,2018.0,True,yes,2019.0,Emily Huddart Kennedy and Christine Horne,Accidental environmentalist or ethical elite? The moral dimensions of environmental impact,"Poetics, 82, 101448",https://www.sciencedirect.com/science/article/abs/pii/S0304422X19302992,10.1016/j.poetic.2020.101448,10.0,True,True,False,True,True,agreed
vnm9y,unseen,7,Political Cue Taking on Social Media Among Teens,https://www.tessexperiments.org/study/arceneaux1261,2020.0,True,no,,,,,,,,True,False,False,True,True,adjudicated
w72cz,unseen,12,Can masking of video data reduce perceived invasion of privacy?,https://www.tessexperiments.org/study/downs030,2010.0,True,no,,,,,,,,True,False,False,True,True,agreed
w7mnc,seen,10,Consuming Values: Estimating Consumer Demand for Corporate Social Responsibility,https://www.tessexperiments.org/study/conway1415,2021.0,True,no,,,,,,,,True,False,False,True,True,adjudicated
wmsah,seen,17,Equivalency Framing of Societal Problems and Policy Solutions,https://www.tessexperiments.org/study/stoker1063,2019.0,True,no,,,,,,,,True,False,False,True,True,agreed
wn3y9,unseen,8,Untangling a Dislike for the Opposing Party from a Dislike of Parties,https://www.tessexperiments.org/study/klarBR57,2015.0,True,yes,2018.0,"Klar, Samara; Krupnikov, Yanna; Ryan, John Barry",Affective Polarization or Partisan Disdain?: Untangling a Dislike for the Opposing Party from a Dislike of Partisanship,Public Opinion Quarterly,https://doi.org/10.1093/poq/nfy014,10.1093/poq/nfy014,226.0,True,True,False,True,True,agreed
x2ztf,seen,3,Two-Sided Collective Action: An Experimental Study of Grocery Consumers’ Behavior,https://www.tessexperiments.org/study/elliott-negri1320,2021.0,False,no,,,,,,,,False,False,False,False,False,agreed
xc4yq,seen,1,"Terrorist Threat: Overreactions, Underreactions, and Realistic Reaction",https://www.tessexperiments.org/study/thompson157,2011.0,False,no,,,,,,,,False,False,False,False,False,agreed
xtvu5,unseen,2,Effects of Misinformation News Coverage on Media Trust,https://www.tessexperiments.org/study/thorsonS42,2019.0,True,yes,2024.0,Emily Thorson,How News Coverage of Misinformation Shapes Perceptions and Trust,Cambridge University Press (Cambridge Elements),https://scholar.google.com/scholar?q=Thorson+%22How+news+coverage+of+misinformation+shapes%22,,35.0,True,True,False,True,True,agreed
xvgh5,seen,18,Racial Prejudice and Paternalism in Mass Support for Foreign Aid,https://www.tessexperiments.org/study/baker035,2011.0,True,yes,2011.0,"Baker, Andy","Race, Paternalism, and Foreign Aid: Evidence from U.S. Public Opinion",American Political Science Review,https://doi.org/10.1017/S0003055414000549,10.1017/S0003055414000549,103.0,True,True,False,True,True,agreed
xweq8,seen,5,Whose is the conventional thought?,https://www.tessexperiments.org/study/quadlin1688,2023.0,False,no,,,,,,,,False,False,False,False,False,agreed
xykr7,seen,1,Parental Incarceration and School Discipline: Examining the Effect of Parental Incarceration on Teacher Decision-Making,https://www.tessexperiments.org/study/knaphus745,2016.0,True,yes,2018.0,Emily Knaphus-Soran,Stigma and the Educational Experience of Children of Incarcerated Parents,"PhD dissertation, University of Washington (ResearchWorks, available 20 Jan 2018)",http://hdl.handle.net/1773/40972,,1.0,True,True,False,True,True,adjudicated
xym9d,unseen,18,Does Harsh Language Referring to Immigrants Translate into Harsher Preferences for Immigration Policies – Or Is It All Politics?,https://www.tessexperiments.org/study/shannonS28,2018.0,False,no,,,,,,,,False,False,False,False,False,agreed
ye2ej,seen,64,The Wages of Parenthood: At the Intersection of Sexual Orientation and Child Caregiving,https://www.tessexperiments.org/study/demerjian628,2015.0,True,yes,2016.0,"Demerjian, Sascha W.","The Wages of Parenthood: At the Intersection of Gender, Child Caregiving, and Sexual Orientation","Doctoral dissertation, Emory University",,,,True,True,False,True,True,agreed
yg958,seen,1,Do Messages That Encourage the Use of They/Them Pronouns Influence Public Opinion?,https://www.tessexperiments.org/study/bolsenM6,2022.0,True,yes,2024.0,"Bolsen, Toby; Thornton, Judd R.",Do norm-based appeals affect the acceptance of the singular use of they/them pronouns?,Research & Politics,https://journals.sagepub.com/doi/10.1177/20531680241264078,10.1177/20531680241264078,2.0,True,True,False,True,True,agreed
yh2ef,seen,5,"Attitudes, Rhetoric, and Acceptance of Political Compromise",https://www.tessexperiments.org/study/ryan384,2013.0,True,yes,2014.0,"Ryan, Timothy J.",No Compromise: The Politics of Moral Conviction,"PhD Dissertation, University of Michigan (Deep Blue repository)",https://deepblue.lib.umich.edu/handle/2027.42/108920,,0.0,True,True,False,True,True,agreed
yjvpn,unseen,21,The De-gendering and Dehumanization of Transgender People,https://www.tessexperiments.org/study/kubicki1576,2023.0,False,no,,,,,,,,False,False,False,False,False,agreed
yp736,unseen,8,Politics and purity: The effect of elite partisan cues on pathogen perceptions,https://www.tessexperiments.org/study/relihan1399,2021.0,False,yes,2022.0,Daniel P. Relihan,The Politics of Pathogens and Pandemics,"PhD dissertation, University of California, Irvine (eScholarship; full text embargoed until 27 Jun 2024)",https://escholarship.org/uc/item/2v62f6ch,,,True,True,False,False,True,adjudicated
yv2ta,seen,301,Opting into Work-Family Policies: Comparing the Effects of Material and Cultural Concerns,https://www.tessexperiments.org/study/pedulla821,2016.0,True,yes,2022.0,Sarah Thébaud and David S. Pedulla,When Do Work-Family Policies Work? Unpacking the Effects of Stigma and Financial Costs for Men and Women,"Work and Occupations, 49(2), 229-263",https://journals.sagepub.com/doi/10.1177/07308884211069914,10.1177/07308884211069914,54.0,True,True,False,True,True,agreed
z358z,seen,7,Randomized Drug Trials without Consent? The Public's Perspective,https://www.tessexperiments.org/study/nayak609,2014.0,False,yes,2015.0,"Nayak, Rahul K., David Wendler, Franklin G. Miller, and Scott Y. H. Kim",Pragmatic Randomized Trials Without Standard Informed Consent?: A National Survey,Annals of Internal Medicine,https://doi.org/10.7326/M15-0817,10.7326/M15-0817,56.0,True,True,False,True,True,agreed
zaqkm,seen,551,"Causal Attributions, Treatability, and Mental Illness Stigma: An Experimental Study",https://www.tessexperiments.org/study/elliottM14,2022.0,False,yes,2024.0,"Marta Elliott, James M. Ragsdale, and Megan E. LaMotte","Causal Explanations, Treatability, and Mental Illness Stigma: Experimental Study","Psychiatric Services, 75(2), 131-138",https://psychiatryonline.org/doi/10.1176/appi.ps.20230169,10.1176/appi.ps.20230169,10.0,True,True,False,True,True,agreed
zmtbw,seen,12,Does Political Incivility Polarize? Considering the Role of Intergroup Dynamics,https://www.tessexperiments.org/study/gervais1424,2021.0,True,no,,,,,,,,True,False,False,True,True,adjudicated
ztwqy,unseen,4,Understanding the Expense Prediction Bias,https://www.tessexperiments.org/study/howard823,2016.0,True,yes,2022.0,"Howard, Ray Charles (Chuck), David J. Hardisty, Abigail B. Sussman, and Marcel F. Lukas","Understanding and Neutralizing the Expense Prediction Bias: The Role of Accessibility, Typicality, and Skewness",Journal of Marketing Research,https://doi.org/10.1177/00222437211068025,10.1177/00222437211068025,20.0,True,True,False,True,True,agreed
zv3wc,seen,22,Portrayals of Serious Mental Illness: Precursor to Violence or Treatable Health Condition?,https://www.tessexperiments.org/study/mcginty730,2016.0,True,yes,2018.0,"McGinty, Emma E.; Goldman, Howard H.; Pescosolido, Bernice A.; Barry, Colleen L.",Communicating about Mental Illness and Violence: Balancing Stigma and Increased Support for Services,"Journal of Health Politics, Policy and Law",https://doi.org/10.1215/03616878-4303507,10.1215/03616878-4303507,61.0,True,True,False,True,True,agreed
zx5b8,seen,10,Do the benefits of receiving affectionate touch generalize beyond satisfied couples?,https://www.tessexperiments.org/study/jakubiak1098,2019.0,False,yes,2022.0,"Jakubiak, Brett K.",Affectionate touch in satisfying and dissatisfying romantic relationships,Journal of Social and Personal Relationships,https://journals.sagepub.com/doi/abs/10.1177/02654075221077280,10.1177/02654075221077280,27.0,True,True,False,True,True,agreed
